"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2023","24,968.4","25,057.8","25,102.6","24,923.6","3.68M","0.18%"
"05/05/2023","24,923.6","25,281.6","25,326.3","24,878.9","4.16M","-1.42%"
"05/04/2023","25,281.6","25,594.8","25,594.8","25,236.8","2.34M","-2.08%"
"04/28/2023","25,818.5","25,505.3","25,818.5","25,505.3","4.89M","1.76%"
"04/27/2023","25,371.1","25,415.8","25,684.3","25,371.1","2.21M","-0.18%"
"04/26/2023","25,415.8","25,505.3","25,773.8","25,013.1","4.23M","-0.35%"
"04/25/2023","25,505.3","25,952.8","25,952.8","25,505.3","1.43M","-1.38%"
"04/24/2023","25,863.3","25,550.1","26,131.8","25,236.8","2.96M","1.05%"
"04/21/2023","25,594.8","25,505.3","25,729.0","25,505.3","1.05M","-0.52%"
"04/20/2023","25,729.0","25,639.5","25,729.0","25,415.8","1.48M","0.17%"
"04/19/2023","25,684.3","25,997.5","26,087.0","25,639.5","1.80M","-1.37%"
"04/18/2023","26,042.3","26,131.8","26,221.2","25,952.8","1.32M","-0.34%"
"04/17/2023","26,131.8","26,042.3","26,221.2","25,773.8","1.45M","0.34%"
"04/14/2023","26,042.3","26,355.5","26,400.2","26,042.3","1.69M","-1.02%"
"04/13/2023","26,310.7","26,310.7","26,400.2","26,042.3","1.46M","-0.34%"
"04/12/2023","26,400.2","26,579.2","26,579.2","26,310.7","1.53M","-0.34%"
"04/11/2023","26,489.7","26,355.5","26,489.7","26,131.8","1.30M","0.85%"
"04/10/2023","26,266.0","26,400.2","26,579.2","26,221.2","2.07M","-0.51%"
"04/07/2023","26,400.2","26,400.2","26,445.0","26,221.2","1.72M","-0.17%"
"04/06/2023","26,445.0","26,847.7","26,847.7","26,445.0","2.16M","-1.50%"
"04/05/2023","26,847.7","26,534.5","26,937.2","26,266.0","3.84M","1.18%"
"04/04/2023","26,534.5","26,802.9","26,802.9","26,445.0","2.48M","-1.00%"
"04/03/2023","26,802.9","26,400.2","26,892.4","26,310.7","4.17M","2.57%"
"03/31/2023","26,131.8","25,863.3","26,131.8","25,684.3","2.61M","0.69%"
"03/30/2023","25,952.8","26,042.3","26,131.8","25,773.8","1.62M","0.00%"
"03/29/2023","25,952.8","25,773.8","25,997.5","25,773.8","1.93M","0.35%"
"03/28/2023","25,863.3","25,729.0","25,952.8","25,729.0","2.12M","0.52%"
"03/27/2023","25,729.0","25,505.3","25,863.3","25,326.3","1.56M","0.88%"
"03/24/2023","25,505.3","25,684.3","25,818.5","25,326.3","2.84M","-0.70%"
"03/23/2023","25,684.3","25,236.8","25,684.3","25,147.3","1.79M","0.70%"
"03/22/2023","25,505.3","25,460.6","25,684.3","25,236.8","1.54M","0.71%"
"03/21/2023","25,326.3","25,594.8","25,594.8","25,057.8","1.18M","1.07%"
"03/20/2023","25,057.8","25,908.0","25,908.0","25,057.8","1.80M","-3.45%"
"03/17/2023","25,952.8","25,997.5","26,221.2","25,773.8","1.27M","0.17%"
"03/16/2023","25,908.0","25,952.8","26,131.8","25,505.3","2.40M","-1.86%"
"03/15/2023","26,400.2","26,221.2","26,489.7","25,997.5","3.12M","1.72%"
"03/14/2023","25,952.8","26,176.5","26,176.5","25,371.1","2.40M","-1.02%"
"03/13/2023","26,221.2","25,639.5","26,310.7","25,594.8","2.08M","0.34%"
"03/10/2023","26,131.8","26,176.5","26,176.5","25,684.3","1.80M","-0.68%"
"03/09/2023","26,310.7","26,310.7","26,579.2","26,176.5","2.64M","0.00%"
"03/08/2023","26,310.7","25,505.3","26,400.2","25,460.6","3.82M","1.38%"
"03/07/2023","25,952.8","25,371.1","25,952.8","25,371.1","3.22M","2.29%"
"03/06/2023","25,371.1","24,923.6","25,729.0","24,923.6","3.57M","1.98%"
"03/03/2023","24,878.9","25,057.8","25,057.8","24,565.6","1.95M","0.00%"
"03/02/2023","24,878.9","25,326.3","25,371.1","24,834.1","2.04M","-1.59%"
"03/01/2023","25,281.6","24,476.1","25,281.6","24,252.4","2.42M","3.10%"
"02/28/2023","24,520.9","24,878.9","25,057.8","24,520.9","1.43M","-0.54%"
"02/27/2023","24,655.1","25,236.8","25,236.8","24,565.6","1.95M","-2.48%"
"02/24/2023","25,281.6","25,863.3","25,863.3","25,281.6","2.45M","-2.59%"
"02/23/2023","25,952.8","25,505.3","25,952.8","25,326.3","4.56M","0.35%"
"02/22/2023","25,863.3","26,489.7","26,579.2","25,863.3","4.41M","-3.18%"
"02/21/2023","26,713.5","27,205.7","27,295.2","26,713.5","3.30M","-1.97%"
"02/20/2023","27,250.4","26,713.5","27,250.4","26,579.2","5.11M","2.70%"
"02/17/2023","26,534.5","26,579.2","26,758.2","26,310.7","2.50M","-0.17%"
"02/16/2023","26,579.2","25,997.5","26,802.9","25,908.0","3.24M","2.77%"
"02/15/2023","25,863.3","25,684.3","26,266.0","25,594.8","1.65M","0.70%"
"02/14/2023","25,684.3","26,221.2","26,310.7","25,684.3","1.96M","-1.54%"
"02/13/2023","26,087.0","25,818.5","26,221.2","25,773.8","2.38M","0.17%"
"02/10/2023","26,042.3","26,310.7","26,668.7","26,042.3","2.35M","-1.02%"
"02/09/2023","26,310.7","26,758.2","27,026.7","26,310.7","3.02M","-1.67%"
"02/08/2023","26,758.2","26,176.5","27,026.7","26,131.8","3.53M","2.40%"
"02/07/2023","26,131.8","26,668.7","27,026.7","26,087.0","3.64M","-2.34%"
"02/06/2023","26,758.2","25,773.8","26,758.2","25,550.1","2.94M","2.93%"
"02/03/2023","25,997.5","26,131.8","26,310.7","25,997.5","4.04M","-0.51%"
"02/02/2023","26,131.8","25,952.8","26,355.5","25,684.3","3.51M","0.69%"
"02/01/2023","25,952.8","27,295.2","27,429.4","25,505.3","4.86M","-4.92%"
"01/31/2023","27,295.2","26,579.2","27,295.2","26,400.2","3.85M","2.52%"
"01/30/2023","26,624.0","26,847.7","26,981.9","26,579.2","4.18M","-1.98%"
"01/27/2023","27,160.9","27,832.1","27,966.3","27,026.7","3.83M","-2.41%"
"01/19/2023","27,832.1","27,474.1","27,832.1","26,981.9","5.60M","1.14%"
"01/18/2023","27,518.9","27,384.6","27,608.4","27,205.7","3.58M","0.49%"
"01/17/2023","27,384.6","26,937.2","27,429.4","26,937.2","3.88M","2.00%"
"01/16/2023","26,847.7","26,042.3","26,847.7","25,863.3","5.97M","3.09%"
"01/13/2023","26,042.3","26,042.3","26,131.8","25,415.8","3.32M","0.69%"
"01/12/2023","25,863.3","26,042.3","26,131.8","25,729.0","2.76M","-0.69%"
"01/11/2023","26,042.3","25,594.8","26,087.0","25,594.8","3.83M","1.93%"
"01/10/2023","25,550.1","26,131.8","26,131.8","25,550.1","3.41M","-1.89%"
"01/09/2023","26,042.3","25,684.3","26,042.3","25,684.3","4.75M","1.75%"
"01/06/2023","25,594.8","25,505.3","26,176.5","25,102.6","7.53M","0.35%"
"01/05/2023","25,505.3","25,505.3","25,729.0","25,281.6","2.36M","0.00%"
"01/04/2023","25,505.3","25,057.8","25,863.3","24,968.4","6.46M","1.79%"
"01/03/2023","25,057.8","24,476.1","25,057.8","24,386.7","3.89M","2.75%"
"12/30/2022","24,386.7","24,162.9","24,476.1","23,939.2","1.56M","0.93%"
"12/29/2022","24,162.9","24,252.4","24,610.4","24,073.4","1.92M","-0.55%"
"12/28/2022","24,297.2","23,805.0","24,341.9","23,536.5","2.11M","2.07%"
"12/27/2022","23,805.0","23,357.5","23,939.2","23,268.0","2.90M","2.11%"
"12/26/2022","23,312.7","24,744.6","24,789.4","23,268.0","3.31M","-5.79%"
"12/23/2022","24,744.6","24,610.4","25,013.1","24,431.4","3.15M","0.18%"
"12/22/2022","24,699.9","24,610.4","25,192.1","24,610.4","3.74M","0.36%"
"12/21/2022","24,610.4","25,057.8","25,057.8","24,162.9","3.42M","-1.79%"
"12/20/2022","25,057.8","24,655.1","25,057.8","23,805.0","7.35M","1.63%"
"12/19/2022","24,655.1","25,057.8","25,505.3","24,655.1","5.77M","-1.78%"
"12/16/2022","25,102.6","24,834.1","25,281.6","24,834.1","3.60M","-0.71%"
"12/15/2022","25,281.6","24,968.4","25,281.6","24,968.4","3.94M","1.25%"
"12/14/2022","24,968.4","25,415.8","25,460.6","24,923.6","2.71M","-0.89%"
"12/13/2022","25,192.1","24,431.4","25,236.8","24,252.4","4.37M","2.55%"
"12/12/2022","24,565.6","25,057.8","25,236.8","24,565.6","4.30M","-2.14%"
"12/09/2022","25,102.6","24,878.9","25,102.6","24,207.7","5.58M","0.90%"
"12/08/2022","24,878.9","24,699.9","25,863.3","24,520.9","5.90M","1.65%"
"12/07/2022","24,476.1","24,073.4","24,878.9","23,939.2","4.58M","1.30%"
"12/06/2022","24,162.9","25,147.3","25,594.8","24,028.7","8.56M","-5.59%"
"12/05/2022","25,594.8","25,505.3","25,594.8","24,878.9","8.59M","2.33%"
"12/02/2022","25,013.1","23,536.5","25,013.1","23,312.7","9.99M","6.88%"
"12/01/2022","23,402.2","24,476.1","24,789.4","23,268.0","12.03M","-4.04%"
"11/30/2022","24,386.7","24,207.7","25,057.8","23,849.7","7.12M","-0.55%"
"11/29/2022","24,520.9","24,162.9","24,520.9","23,357.5","10.81M","0.37%"
"11/28/2022","24,431.4","23,357.5","24,565.6","23,357.5","12.39M","5.81%"
"11/25/2022","23,089.0","22,283.6","23,089.0","22,059.9","15.83M","4.88%"
"11/24/2022","22,015.1","21,701.9","22,015.1","21,299.2","4.63M","0.82%"
"11/23/2022","21,836.1","21,388.7","22,149.3","21,299.2","6.62M","2.09%"
"11/22/2022","21,388.7","21,388.7","22,283.6","21,030.7","8.55M","-0.83%"
"11/21/2022","21,567.6","22,104.6","22,194.1","21,567.6","6.35M","-2.43%"
"11/18/2022","22,104.6","21,970.4","22,373.1","21,030.7","12.98M","-1.20%"
"11/17/2022","22,373.1","22,373.1","23,089.0","22,059.9","13.05M","0.81%"
"11/16/2022","22,194.1","19,956.8","22,283.6","19,912.0","14.56M","5.98%"
"11/15/2022","20,941.2","21,120.2","21,388.7","19,912.0","11.95M","-2.09%"
"11/14/2022","21,388.7","20,762.2","21,791.4","20,359.5","10.10M","1.27%"
"11/11/2022","21,120.2","21,254.4","21,746.6","20,941.2","10.94M","3.74%"
"11/10/2022","20,359.5","21,567.6","21,746.6","20,359.5","10.75M","-6.95%"
"11/09/2022","21,880.9","21,567.6","22,238.8","21,478.2","11.41M","2.52%"
"11/08/2022","21,343.9","20,583.2","21,612.4","20,583.2","7.01M","2.14%"
"11/07/2022","20,896.5","21,746.6","21,925.6","20,628.0","7.86M","-4.69%"
"11/04/2022","21,925.6","20,941.2","21,925.6","19,688.3","15.60M","3.81%"
"11/03/2022","21,120.2","21,075.4","21,567.6","21,030.7","8.37M","-1.67%"
"11/02/2022","21,478.2","21,522.9","21,970.4","21,343.9","6.02M","-1.84%"
"11/01/2022","21,880.9","22,104.6","22,775.8","21,836.1","9.87M","-0.61%"
