"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2023","43,349.0","43,216.0","43,881.0","42,994.0","2.26M","0.93%"
"08/04/2023","42,950.0","43,038.0","43,393.0","42,772.0","2.47M","-0.31%"
"08/03/2023","43,083.0","43,571.0","43,615.0","42,950.0","2.36M","-1.12%"
"08/02/2023","43,571.0","42,772.0","43,748.0","42,728.0","2.65M","1.87%"
"08/01/2023","42,772.0","42,195.0","43,926.0","41,885.0","4.30M","2.12%"
"07/31/2023","41,885.0","41,707.0","42,107.0","41,441.0","2.11M","1.07%"
"07/28/2023","41,441.0","41,441.0","41,974.0","41,175.0","1.98M","0.00%"
"07/27/2023","41,441.0","41,974.0","42,062.0","41,397.0","1.54M","-1.37%"
"07/26/2023","42,018.0","41,840.0","42,639.0","41,840.0","2.62M","0.43%"
"07/25/2023","41,840.0","41,485.0","41,885.0","41,441.0","1.83M","0.75%"
"07/24/2023","41,530.0","41,619.0","42,240.0","41,530.0","2.22M","0.11%"
"07/21/2023","41,485.0","41,042.0","41,485.0","40,909.0","1.60M","1.08%"
"07/20/2023","41,042.0","40,997.0","41,175.0","40,687.0","1.05M","0.00%"
"07/19/2023","41,042.0","41,619.0","41,619.0","40,687.0","2.63M","-0.96%"
"07/18/2023","41,441.0","40,997.0","41,441.0","40,997.0","1.88M","1.08%"
"07/17/2023","40,997.0","41,485.0","41,796.0","40,997.0","2.51M","-1.18%"
"07/14/2023","41,485.0","41,619.0","42,284.0","40,864.0","2.94M","-0.32%"
"07/13/2023","41,619.0","41,619.0","42,151.0","41,308.0","2.12M","0.43%"
"07/12/2023","41,441.0","41,663.0","41,840.0","40,953.0","2.63M","0.32%"
"07/11/2023","41,308.0","41,885.0","42,062.0","41,264.0","2.95M","-0.85%"
"07/10/2023","41,663.0","39,400.0","41,663.0","39,223.0","5.21M","5.98%"
"07/07/2023","39,311.0","38,779.0","39,311.0","38,779.0","991.79K","0.79%"
"07/06/2023","39,001.0","39,223.0","39,622.0","38,690.0","1.51M","-0.90%"
"07/05/2023","39,356.0","39,223.0","39,711.0","39,090.0","1.46M","0.80%"
"07/04/2023","39,045.0","39,400.0","39,533.0","38,823.0","1.33M","-1.12%"
"07/03/2023","39,489.0","38,956.0","39,489.0","38,779.0","1.22M","2.65%"
"06/30/2023","38,468.0","39,489.0","39,755.0","38,468.0","1.10M","-2.59%"
"06/29/2023","39,489.0","40,288.0","40,731.0","39,489.0","1.78M","-1.87%"
"06/28/2023","40,243.0","39,311.0","40,243.0","39,178.0","2.63M","2.37%"
"06/27/2023","39,311.0","39,134.0","39,444.0","39,045.0","894.53K","0.00%"
"06/26/2023","39,311.0","39,489.0","39,799.0","38,956.0","1.38M","0.00%"
"06/23/2023","39,311.0","38,956.0","39,888.0","38,779.0","2.15M","0.79%"
"06/22/2023","39,001.0","38,779.0","39,090.0","38,513.0","1.45M","1.27%"
"06/21/2023","38,513.0","38,601.0","39,045.0","38,424.0","915.95K","-0.23%"
"06/20/2023","38,601.0","38,557.0","38,601.0","38,291.0","915.83K","0.46%"
"06/19/2023","38,424.0","38,868.0","38,912.0","38,424.0","897.01K","-0.92%"
"06/16/2023","38,779.0","39,311.0","39,489.0","38,735.0","1.62M","-0.34%"
"06/15/2023","38,912.0","38,956.0","39,223.0","38,779.0","927.89K","-0.34%"
"06/14/2023","39,045.0","39,578.0","39,666.0","39,045.0","1.50M","-0.79%"
"06/13/2023","39,356.0","38,779.0","39,489.0","38,735.0","1.50M","1.60%"
"06/12/2023","38,735.0","38,690.0","38,735.0","38,158.0","1.27M","0.46%"
"06/09/2023","38,557.0","38,868.0","39,090.0","38,247.0","1.45M","-0.57%"
"06/08/2023","38,779.0","39,400.0","39,489.0","38,779.0","1.87M","-1.47%"
"06/07/2023","39,356.0","39,755.0","39,844.0","39,356.0","1.09M","-1.00%"
"06/06/2023","39,755.0","39,933.0","39,933.0","39,311.0","953.47K","0.22%"
"06/05/2023","39,666.0","39,844.0","40,243.0","39,666.0","1.08M","0.00%"
"06/02/2023","39,666.0","39,045.0","39,844.0","39,045.0","1.36M","1.82%"
